State,PropertyType,ModelType,Scenario,RentGrowth Annual,Inflation Annual,Appreciation Annual,Insurance Yearly,HOA Monthly,Management Fee,Closing Cost Buying,PropertyTaxRate Annual,VacancyRate% Annual,Maintenance% Annual,CapEx% Annual,SellingCost% Annual,Tax Growth 
Illinois,Condo,Rental,Conservative,1.50%,3.20%,2.00%,"$1,200.00",$250.00,8.00%,3.75%,2.00%,7.00%,8.00%,6.00%,8.00%,3.00%
Illinois,Condo,Rental,Aggressive,3.50%,2.30%,4.00%,$800.00,$250.00,8.00%,3.75%,2.00%,4.00%,5.00%,3.00%,8.00%,3.00%
Illinois,Condo,BRRR,Base,2.50%,2.70%,3.00%,"$1,000.00",$250.00,8.00%,3.75%,2.00%,5.00%,8.00%,5.00%,8.00%,3.00%
Illinois,Condo,BRRR,Conservative,1.50%,3.20%,2.00%,"$1,200.00",$250.00,8.00%,3.75%,2.00%,7.00%,10.00%,7.00%,8.00%,3.00%
Illinois,Condo,BRRR,Aggressive,3.50%,2.30%,4.00%,$800.00,$250.00,8.00%,3.75%,2.00%,4.00%,6.00%,4.00%,8.00%,3.00%
Illinois,Condo,Flip,Base,0.00%,2.00%,5.00%,$800.00,$250.00,8.00%,3.75%,2.00%,0.00%,5.00%,0.00%,7.00%,3.00%
Illinois,Condo,Flip,Conservative,0.00%,2.50%,2.00%,"$1,000.00",$250.00,8.00%,3.75%,2.00%,0.00%,6.00%,0.00%,7.00%,3.00%
Illinois,Condo,Flip,Aggressive,0.00%,1.80%,6.50%,$600.00,$250.00,8.00%,3.75%,2.00%,0.00%,4.00%,0.00%,7.00%,3.00%
,,,,,,,,,,,,,,,,
Illinois,Townhouse,Rental,Base,3.00%,2.70%,3.00%,"$1,700.00",$200.00,8.00%,3.75%,2.10%,4.50%,7.00%,5.00%,8.00%,3.00%
Illinois,Townhouse,Rental,Conservative,2.00%,3.20%,2.00%,"$1,900.00",$200.00,8.00%,3.75%,2.10%,6.00%,9.00%,7.00%,8.00%,3.00%
Illinois,Townhouse,Rental,Aggressive,4.20%,2.30%,4.00%,"$1,500.00",$200.00,8.00%,3.75%,2.10%,3.50%,6.00%,4.00%,8.00%,3.00%
Illinois,Townhouse,BRRR,Base,3.00%,2.70%,3.00%,"$1,700.00",$200.00,8.00%,3.75%,2.10%,4.50%,9.00%,6.00%,8.00%,3.00%
Illinois,Townhouse,BRRR,Conservative,2.00%,3.20%,2.00%,"$1,900.00",$200.00,8.00%,3.75%,2.10%,6.00%,11.00%,8.00%,8.00%,3.00%
Illinois,Townhouse,BRRR,Aggressive,4.20%,2.30%,4.00%,"$1,500.00",$200.00,8.00%,3.75%,2.10%,3.50%,7.00%,5.00%,8.00%,3.00%
Illinois,Townhouse,Flip,Base,0.00%,2.00%,5.00%,"$1,400.00",$200.00,8.00%,3.75%,2.10%,0.00%,5.00%,0.00%,7.00%,3.00%
Illinois,Townhouse,Flip,Conservative,0.00%,2.50%,2.00%,"$1,600.00",$200.00,8.00%,3.75%,2.10%,0.00%,7.00%,0.00%,7.00%,3.00%
Illinois,Townhouse,Flip,Aggressive,0.00%,1.80%,6.50%,"$1,200.00",$200.00,8.00%,3.75%,2.10%,0.00%,4.00%,0.00%,7.00%,3.00%
,,,,,,,,,,,,,,,,
Illinois,Duplex,Rental,Base,3.20%,2.70%,3.00%,"$2,800.00",$0.00,9.00%,3.75%,2.30%,6.00%,10.00%,8.00%,8.00%,3.00%
Illinois,Duplex,Rental,Conservative,2.20%,3.20%,2.00%,"$3,000.00",$0.00,9.00%,3.75%,2.30%,8.00%,12.00%,10.00%,8.00%,3.00%
Illinois,Duplex,Rental,Aggressive,4.20%,2.30%,4.00%,"$2,600.00",$0.00,9.00%,3.75%,2.30%,5.50%,8.00%,6.00%,8.00%,3.00%
Illinois,Duplex,BRRR,Base,3.20%,2.70%,3.00%,"$2,800.00",$0.00,9.00%,3.75%,2.30%,6.00%,12.00%,10.00%,8.00%,3.00%
Illinois,Duplex,BRRR,Conservative,2.20%,3.20%,2.00%,"$3,000.00",$0.00,9.00%,3.75%,2.30%,8.00%,14.00%,12.00%,8.00%,3.00%
Illinois,Duplex,BRRR,Aggressive,4.20%,2.30%,4.00%,"$2,600.00",$0.00,9.00%,3.75%,2.30%,5.00%,10.00%,8.00%,8.00%,3.00%
Illinois,Duplex,Flip,Base,0.00%,2.00%,5.00%,"$2,500.00",$0.00,9.00%,3.75%,2.30%,0.00%,6.00%,0.00%,7.00%,3.00%
Illinois,Duplex,Flip,Conservative,0.00%,2.50%,2.00%,"$2,700.00",$0.00,9.00%,3.75%,2.30%,0.00%,8.00%,0.00%,7.00%,3.00%
Illinois,Duplex,Flip,Aggressive,0.00%,1.80%,6.50%,"$2,300.00",$0.00,9.00%,3.75%,2.30%,0.00%,5.00%,0.00%,7.00%,3.00%
,,,,,,,,,,,,,,,,
California,SFH,Rental,Base,4.00%,2.70%,4.00%,"$2,200.00",$100.00,9.00%,2.75%,1.20%,4.50%,7.00%,5.00%,7.00%,2.00%
California,SFH,Rental,Conservative,2.50%,3.20%,3.00%,"$2,800.00",$100.00,9.00%,2.75%,1.20%,6.00%,9.00%,7.00%,7.00%,2.00%
California,SFH,Rental,Aggressive,5.50%,2.30%,6.50%,"$1,800.00",$100.00,9.00%,2.75%,1.20%,3.50%,6.00%,4.00%,7.00%,2.00%
California,SFH,BRRR,Base,4.00%,2.70%,4.00%,"$2,200.00",$100.00,9.00%,2.75%,1.20%,4.00%,9.00%,7.00%,7.00%,2.00%
California,SFH,BRRR,Conservative,2.50%,3.20%,3.00%,"$2,800.00",$100.00,9.00%,2.75%,1.20%,6.00%,11.00%,9.00%,7.00%,2.00%
California,SFH,BRRR,Aggressive,5.50%,2.30%,6.50%,"$1,800.00",$100.00,9.00%,2.75%,1.20%,3.00%,7.00%,5.00%,7.00%,2.00%
California,SFH,Flip,Base,0.00%,2.00%,5.00%,"$1,800.00",$100.00,9.00%,2.75%,1.20%,0.00%,5.00%,0.00%,6.50%,2.00%
California,SFH,Flip,Conservative,0.00%,2.50%,2.50%,"$2,400.00",$100.00,9.00%,2.75%,1.20%,0.00%,7.00%,0.00%,6.50%,2.00%
California,SFH,Flip,Aggressive,0.00%,1.80%,7.50%,"$1,500.00",$100.00,9.00%,2.75%,1.20%,0.00%,4.00%,0.00%,6.50%,2.00%
,,,,,,,,,,,,,,,,
California,Condo,Rental,Base,3.50%,2.70%,4.00%,"$1,200.00",$400.00,8.00%,2.75%,1.10%,4.00%,5.00%,4.00%,7.00%,2.00%
California,Condo,Rental,Conservative,2.20%,3.20%,3.00%,"$1,500.00",$400.00,8.00%,2.75%,1.10%,5.50%,7.00%,6.00%,7.00%,2.00%
California,Condo,Rental,Aggressive,4.80%,2.30%,6.50%,"$1,000.00",$400.00,8.00%,2.75%,1.10%,3.00%,4.00%,3.00%,7.00%,2.00%
California,Condo,BRRR,Base,3.50%,2.70%,4.00%,"$1,200.00",$400.00,8.00%,2.75%,1.10%,4.00%,7.00%,5.00%,7.00%,2.00%
California,Condo,BRRR,Conservative,2.20%,3.20%,3.00%,"$1,500.00",$400.00,8.00%,2.75%,1.10%,5.00%,9.00%,7.00%,7.00%,2.00%
California,Condo,BRRR,Aggressive,4.80%,2.30%,6.50%,"$1,000.00",$400.00,8.00%,2.75%,1.10%,3.00%,6.00%,4.00%,7.00%,2.00%
California,Condo,Flip,Base,0.00%,2.00%,5.00%,"$1,000.00",$400.00,8.00%,2.75%,1.10%,0.00%,5.00%,0.00%,6.50%,2.00%
California,Condo,Flip,Conservative,0.00%,2.50%,2.50%,"$1,300.00",$400.00,8.00%,2.75%,1.10%,0.00%,6.00%,0.00%,6.50%,2.00%
California,Condo,Flip,Aggressive,0.00%,1.80%,7.50%,$800.00,$400.00,8.00%,2.75%,1.10%,0.00%,4.00%,0.00%,6.50%,2.00%
,,,,,,,,,,,,,,,,
California,Townhouse,Rental,Base,3.80%,2.70%,4.00%,"$1,800.00",$300.00,8.00%,2.75%,1.15%,3.50%,6.00%,5.00%,7.00%,2.00%
California,Townhouse,Rental,Conservative,2.50%,3.20%,3.00%,"$2,200.00",$300.00,8.00%,2.75%,1.15%,5.00%,8.00%,6.00%,7.00%,2.00%
California,Townhouse,Rental,Aggressive,5.20%,2.30%,6.50%,"$1,500.00",$300.00,8.00%,2.75%,1.15%,3.00%,5.00%,4.00%,7.00%,2.00%
California,Townhouse,BRRR,Base,3.80%,2.70%,4.00%,"$1,800.00",$300.00,8.00%,2.75%,1.15%,3.50%,8.00%,6.00%,7.00%,2.00%
California,Townhouse,BRRR,Conservative,2.50%,3.20%,3.00%,"$2,200.00",$300.00,8.00%,2.75%,1.15%,5.00%,10.00%,8.00%,7.00%,2.00%
California,Townhouse,BRRR,Aggressive,5.20%,2.30%,6.50%,"$1,500.00",$300.00,8.00%,2.75%,1.15%,3.00%,6.00%,5.00%,7.00%,2.00%
California,Townhouse,Flip,Base,0.00%,2.00%,5.00%,"$1,500.00",$300.00,8.00%,2.75%,1.15%,0.00%,5.00%,0.00%,6.50%,2.00%
California,Townhouse,Flip,Conservative,0.00%,2.50%,2.50%,"$1,900.00",$300.00,8.00%,2.75%,1.15%,0.00%,6.00%,0.00%,6.50%,2.00%
California,Townhouse,Flip,Aggressive,0.00%,1.80%,7.50%,"$1,200.00",$300.00,8.00%,2.75%,1.15%,0.00%,4.00%,0.00%,6.50%,2.00%
,,,,,,,,,,,,,,,,
California,Duplex,Rental,Base,4.20%,2.70%,4.00%,"$2,800.00",$0.00,9.00%,2.75%,1.25%,5.00%,9.00%,7.00%,7.00%,2.00%
California,Duplex,Rental,Conservative,2.80%,3.20%,3.00%,"$3,500.00",$0.00,9.00%,2.75%,1.25%,6.50%,11.00%,9.00%,7.00%,2.00%
California,Duplex,Rental,Aggressive,5.80%,2.30%,6.50%,"$2,400.00",$0.00,9.00%,2.75%,1.25%,4.00%,8.00%,6.00%,7.00%,2.00%
California,Duplex,BRRR,Base,4.20%,2.70%,4.00%,"$2,800.00",$0.00,9.00%,2.75%,1.25%,5.00%,11.00%,9.00%,7.00%,2.00%
California,Duplex,BRRR,Conservative,2.80%,3.20%,3.00%,"$3,500.00",$0.00,9.00%,2.75%,1.25%,6.00%,13.00%,11.00%,7.00%,2.00%
California,Duplex,BRRR,Aggressive,5.80%,2.30%,6.50%,"$2,400.00",$0.00,9.00%,2.75%,1.25%,4.00%,9.00%,7.00%,7.00%,2.00%
California,Duplex,Flip,Base,0.00%,2.00%,5.00%,"$2,400.00",$0.00,9.00%,2.75%,1.25%,0.00%,6.00%,0.00%,6.50%,2.00%
California,Duplex,Flip,Conservative,0.00%,2.50%,2.50%,"$3,000.00",$0.00,9.00%,2.75%,1.25%,0.00%,8.00%,0.00%,6.50%,2.00%
California,Duplex,Flip,Aggressive,0.00%,1.80%,7.50%,"$2,000.00",$0.00,9.00%,2.75%,1.25%,0.00%,5.00%,0.00%,6.50%,2.00%
